"","baseMean","log2FoldChange","lfcSE","svalue"
"YDL248W",137.099973712396,0.481052691357855,0.112147525875701,0.105827684010049
"YDL247W",2.79247992852719,-0.707804526571208,0.616203647099723,0.0570542162701407
"YDL246C",2.33659165340148,-0.246007516215295,0.561537580647786,0.139228386357393
"YDL245C",84.0350735881923,0.215907073180543,0.132379779542821,0.333816690972746
"YDL244W",53.9396146746396,-1.42097627996642,0.173854504657512,2.88761928499447e-09
"YDL243C",270.148557661933,-0.602019706221894,0.188709160245017,0.0415835136060464
"YDL242W",46.4567190895397,-0.225961997553167,0.227419414862026,0.243912804830317
"YDL241W",634.699981930367,-3.63820183038401,0.123253051680915,0
"YDL240W",421.910601010674,-0.209124996015204,0.0885091876652414,0.414369115979656
"YDL239C",472.212930064882,1.47964725659881,0.229350040252104,5.5559360709766e-07
"YDL238C",504.915545730589,0.903438449944222,0.186159280749087,0.00135872173827436
"YDL237W",1050.12504642389,0.240500498318612,0.0849502978009371,0.399904062969938
"YDL236W",2386.33458168035,0.0340016815213745,0.0733886931075029,0.510610661304283
"YDL235C",816.76467590856,-0.536507866224004,0.0615218408986235,0.0379572634699609
"YDL234C",2833.05796735667,-0.976702738724574,0.054443188307985,0
"YDL233W",716.160165881351,-0.511941125996504,0.06874311606542,0.0705160699529997
"YDL232W",488.362971621839,-1.21567476947483,0.102724989495271,5.83418789663678e-14
"YDL231C",1434.61324766838,0.179338070917912,0.112376824752499,0.386542911984165
"YDL230W",1062.49416126711,-0.146497456513506,0.0603167415009121,0.501978071957028
"YDL229W",10543.0925145648,0.376989254823766,0.191256724317228,0.165859910092063
"YDL228C",10.281449578741,1.34070856767884,0.619885405132443,0.00956406569947309
"YDL227C",516.898259624677,-1.04702087100261,0.0998386290669937,8.91006584517161e-10
"YDL226C",1380.86817737463,0.163278558481337,0.0585872882268501,0.499973475576763
"YDL225W",1963.83835873268,-0.408483105390566,0.0726432967199281,0.250063841985687
"YDL224C",988.30370616982,0.425701392727635,0.0550668893549912,0.258886620325233
"YDL223C",2728.1868381543,1.87517528869116,0.281873655408781,3.00575507135438e-08
"YDL222C",389.699571573049,2.04158695641054,0.136181760712386,3.65340173775917e-32
"YDL221W",80.4544497380135,1.89297861342964,0.140987477932917,4.31101798450166e-25
"YDL220C",438.311038544346,1.5194067467598,0.113465546936275,2.30578202405977e-21
"YDL219W",326.360475289643,-0.517128762805401,0.0816449414291792,0.0678411295759527
"YDL218W",163.214033302481,-0.667293617202561,0.100890640589002,0.00479475930720171
"YDL217C",747.170650485845,-0.0963100478852339,0.0638070588039184,0.510301995685497
"YDL216C",188.131162450999,0.333721409858654,0.115136787635035,0.268271812378049
"YDL215C",1314.26826948721,1.10069630092683,0.0570296501494831,3.38097218463835e-28
"YDL214C",568.318237689787,-0.340184815666428,0.115110248253721,0.263278919664416
"YDL213C",3121.81481909934,-0.180155979244752,0.160173780828497,0.319914626462635
"YDL212W",2652.2228907552,-0.25297381498455,0.0537184179651448,0.467021695511407
"YDL211C",224.775119608536,1.07737642904119,0.0981631125407944,8.32199631909446e-11
"YDL210W",273.329009354255,1.46563405461668,0.187452256609343,5.04272828590747e-09
"YDL209C",681.195733937355,0.491247471909863,0.107371559136011,0.094394673254951
"YDL208W",3421.10944366312,0.194978924107727,0.178555702257027,0.294686773231072
"YDL207W",1767.39060892162,0.0916865691589425,0.0543987246476652,0.523305488355183
"YDL206W",294.146090885278,0.945171050362674,0.0829614573292198,1.83301774882947e-09
"YDL205C",1368.41913627139,0.697773180345102,0.0977852907906497,0.00204205240231727
"YDL204W",1390.77723682338,0.00343009113556977,0.105270013653688,0.471646025214134
"YDL203C",766.961414069147,-0.0177606158520663,0.0536932255087133,0.528157893745672
"YDL202W",1129.66360229165,-0.228996243203466,0.119645566591563,0.342524055026125
"YDL201W",734.785405205366,0.12782890447822,0.144244131553884,0.369444356339459
