# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "20" "-a" "/scratch/summit/parsa96@colostate.edu/SC_Genome/sacCer3.ensGene.gtf" "-o" "../outputs/_output/03_feature/counts.txt" "../outputs/_output/02_hisat2/SC01.sam" "../outputs/_output/02_hisat2/SC02.sam" "../outputs/_output/02_hisat2/SC03.sam" "../outputs/_output/02_hisat2/SC04.sam" "../outputs/_output/02_hisat2/SC05.sam" "../outputs/_output/02_hisat2/SC06.sam" "../outputs/_output/02_hisat2/SC07.sam" "../outputs/_output/02_hisat2/SC08.sam" "../outputs/_output/02_hisat2/SC09.sam" "../outputs/_output/02_hisat2/SC010.sam" "../outputs/_output/02_hisat2/SC011.sam" "../outputs/_output/02_hisat2/SC012.sam" 
Geneid	Chr	Start	End	Strand	Length	../outputs/_output/02_hisat2/SC01.sam	../outputs/_output/02_hisat2/SC02.sam	../outputs/_output/02_hisat2/SC03.sam	../outputs/_output/02_hisat2/SC04.sam	../outputs/_output/02_hisat2/SC05.sam	../outputs/_output/02_hisat2/SC06.sam	../outputs/_output/02_hisat2/SC07.sam	../outputs/_output/02_hisat2/SC08.sam	../outputs/_output/02_hisat2/SC09.sam	../outputs/_output/02_hisat2/SC010.sam	../outputs/_output/02_hisat2/SC011.sam	../outputs/_output/02_hisat2/SC012.sam
YDL248W	chrIV	1802	2953	+	1152	163	167	111	92	123	128	125	120	200	181	99	154
YDL247W-A	chrIV	3762	3836	+	75	0	0	0	0	0	0	0	1	1	0	0	0
YDL247W	chrIV	5985	7814	+	1830	2	3	4	1	1	1	5	6	1	2	5	3
YDL246C	chrIV	8683	9756	-	1074	5	3	1	1	3	0	2	4	0	0	3	8
YDL245C	chrIV	11657	13360	-	1704	110	142	75	71	57	72	89	68	88	82	76	92
YDL244W	chrIV	16204	17226	+	1023	36	41	77	61	21	20	111	67	30	27	78	94
YDL243C	chrIV	17577	18566	-	990	386	375	288	291	169	136	382	284	166	118	321	393
YDL242W	chrIV	18959	19312	+	354	59	80	38	42	45	32	60	49	29	19	50	66
YDL241W	chrIV	20635	21006	+	372	65	93	924	981	106	110	1400	1115	99	86	1211	1663
YDL240C-A	chrIV	22471	22608	-	138	0	1	0	1	1	1	0	2	1	1	0	1
YDL240W	chrIV	22823	25876	+	3054	422	431	398	384	327	264	555	444	481	432	457	546
YDL239C	chrIV	26403	28775	-	2373	1195	1366	177	195	499	470	307	204	394	465	223	283
YDL238C	chrIV	28985	30454	-	1470	1110	1295	295	297	479	448	386	313	461	390	285	420
YDL237W	chrIV	30657	31829	+	1173	1472	1441	849	834	1078	879	1093	905	985	1003	955	1254
YDL236W	chrIV	32296	33234	+	939	2020	2205	2019	1956	2394	2258	2873	2214	2935	2581	2244	3235
YDL235C	chrIV	33415	33918	-	504	647	750	817	901	653	561	1223	864	738	624	922	1248
YDL234C	chrIV	34237	36477	-	2241	2048	2087	3189	3106	1776	1501	4181	3250	2005	1964	4003	5685
YDL233W	chrIV	36797	38173	+	1377	506	583	745	682	608	526	967	794	687	599	816	1220
YDL232W	chrIV	38487	38597	+	111	231	277	648	518	262	272	838	629	393	315	692	897
YDL231C	chrIV	38867	42244	-	3378	2075	2191	1139	1112	1403	1122	1604	1335	1341	1159	1262	1750
YDL230W	chrIV	42700	43707	+	1008	1058	1157	971	963	1009	920	1297	1052	957	904	1096	1509
YDL229W	chrIV	44065	45906	+	1842	7214	8160	8208	7965	11448	9396	9576	8028	20522	17171	8357	11318
YDL228C	chrIV	45277	45918	-	642	9	4	1	2	21	1	3	1	32	24	15	15
YDL227C	chrIV	46271	48031	-	1761	429	427	578	625	314	306	849	671	271	272	644	930
YDL226C	chrIV	51115	52173	-	1059	1574	1772	1075	1057	1281	1095	1551	1230	1596	1454	1327	1847
YDL225W	chrIV	52445	54100	+	1656	1568	1763	2061	2047	1591	1313	2487	2125	2163	1699	2177	2862
YDL224C	chrIV	54397	56346	-	1950	1160	1272	647	708	1094	968	1095	825	1169	1099	807	1158
YDL223C	chrIV	57265	60405	-	3141	9598	8995	875	758	2304	1881	1076	888	2792	2328	991	1296
YDL222C	chrIV	60872	61801	-	930	782	739	110	103	586	466	171	159	691	513	177	223
YDL221W	chrIV	62011	62562	+	552	151	170	30	27	108	102	39	30	124	110	38	43
YDL220C	chrIV	62244	65018	-	2775	812	808	181	160	591	503	263	238	612	587	233	321
YDL219W	chrIV;chrIV	65242;65378	65306;65765	+;+	453	290	321	330	353	248	172	461	357	292	290	370	503
YDL218W	chrIV	66493	67446	+	954	131	171	184	165	122	108	264	183	117	104	182	264
YDL217C	chrIV	67983	68606	-	624	646	710	630	663	669	669	892	797	825	774	749	1035
YDL216C	chrIV	68997	70319	-	1323	255	278	141	128	186	184	190	159	182	179	181	221
YDL215C	chrIV	70640	73918	-	3279	2014	2016	725	674	1730	1521	1045	784	1782	1649	792	1150
YDL214C	chrIV	74446	76545	-	2100	479	481	554	581	691	443	728	644	432	443	569	814
YDL213C	chrIV	77289	77966	-	678	1966	2163	3026	2961	2989	2811	3371	3239	3761	3816	3614	3742
YDL212W	chrIV	78426	79058	+	633	2377	2750	2470	2591	2167	1912	3578	2773	2735	2539	2665	3738
YDL211C	chrIV	79294	80412	-	1119	332	358	107	128	289	210	161	153	322	326	146	193
tG(GCC)D1	chrIV	83548	83618	+	71	0	3	1	0	3	0	0	0	0	0	0	1
YDL210W	chrIV	84270	85985	+	1716	603	591	134	110	343	353	148	106	286	268	160	204
YDL209C	chrIV	86207	87226	-	1020	572	621	447	443	942	863	689	617	837	888	502	743
YDL208W	chrIV	87512	87982	+	471	2131	2471	2788	2641	3705	3303	3589	3005	5850	4955	2983	3821
YDL207W	chrIV	88248	89864	+	1617	1933	2088	1569	1587	1757	1561	1826	1573	1800	1737	1735	2200
YDL206W	chrIV	90176	92464	+	2289	392	404	178	152	378	342	241	193	381	411	183	299
YDL205C	chrIV	92762	93745	-	984	1433	1506	905	909	1555	1404	1180	1000	2213	2058	1061	1277
YDL204W	chrIV	94605	95786	+	1182	1764	1591	1254	1027	998	1135	1525	1168	1626	1259	1566	2115
YDL203C	chrIV	96082	97953	-	1872	714	774	676	633	789	652	893	727	846	763	786	1056
YDL202W	chrIV	98475	99224	+	750	720	830	984	1011	955	1001	1543	1115	1412	1316	1196	1644
YDL201W	chrIV	99561	100421	+	861	521	569	584	619	790	625	775	634	1182	977	679	949
YDL200C	chrIV	100501	101067	-	567	290	329	174	172	292	243	246	232	321	293	194	263
YDL199C	chrIV	101290	103353	-	2064	473	485	172	139	334	305	197	191	272	285	144	232
YDL198C	chrIV	103649	104551	-	903	2583	2774	942	931	3029	2693	1276	1148	2447	2030	1107	1520
YDL197C	chrIV	104917	106494	-	1578	1112	1285	473	466	661	577	711	545	762	736	638	813
YDL196W	chrIV	106741	107070	+	330	84	101	28	24	32	38	23	24	27	41	30	29
YDL195W	chrIV	107208	111029	+	3822	8220	8129	5625	5266	6248	5478	6410	5389	7972	6479	6084	8180
YDL194W	chrIV	111580	114234	+	2655	303	326	304	312	221	164	429	336	261	221	402	551
YDL193W	chrIV	114672	115799	+	1128	636	700	729	737	532	474	1116	883	527	528	889	1278
YDL192W	chrIV	116321	116866	+	546	3072	3389	3867	3722	3494	3025	5039	4020	6431	4801	3903	5083
